Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region,Admitted
2,80,3/11/2020,0,0,ICT,2
0,95,3/11/2020,0,0,Punjab,0
14,171,3/11/2020,1,0,Sindh,13
0,28,3/11/2020,0,0,KP,0
0,0,3/11/2020,0,0,KPTD,0
1,18,3/11/2020,0,0,Balochistan,1
0,4,3/11/2020,0,0,AJK,0
2,26,3/11/2020,0,0,GB,2
2,85,3/12/2020,0,0,ICT,2
0,105,3/12/2020,0,0,Punjab,0
14,198,3/12/2020,2,0,Sindh,12
0,29,3/12/2020,0,0,KP,0
0,0,3/12/2020,0,0,KPTD,0
1,18,3/12/2020,0,0,Balochistan,1
0,8,3/12/2020,0,0,AJK,0
3,28,3/12/2020,0,0,GB,3
2,92,3/13/2020,0,0,ICT,2
0,110,3/13/2020,0,0,Punjab,0
15,240,3/13/2020,2,0,Sindh,13
0,30,3/13/2020,0,0,KP,0
0,0,3/13/2020,0,0,KPTD,0
1,18,3/13/2020,0,0,Balochistan,1
0,9,3/13/2020,0,0,AJK,0
3,32,3/13/2020,0,0,GB,3
3,99,3/14/2020,0,0,ICT,3
0,116,3/14/2020,0,0,Punjab,0
16,282,3/14/2020,3,0,Sindh,13
0,31,3/14/2020,0,0,KP,0
0,0,3/14/2020,0,0,KPTD,0
6,35,3/14/2020,0,0,Balochistan,6
0,10,3/14/2020,0,0,AJK,0
3,36,3/14/2020,0,0,GB,3
4,115,3/15/2020,0,0,ICT,4
0,126,3/15/2020,0,0,Punjab,0
18,315,3/15/2020,3,0,Sindh,15
0,32,3/15/2020,0,0,KP,0
0,0,3/15/2020,0,0,KPTD,0
6,42,3/15/2020,0,0,Balochistan,6
0,11,3/15/2020,0,0,AJK,0
3,45,3/15/2020,0,0,GB,3
4,147,3/16/2020,0,0,ICT,4
1,166,3/16/2020,0,0,Punjab,1
34,364,3/16/2020,3,0,Sindh,32
0,32,3/16/2020,0,0,KP,0
0,0,3/16/2020,0,0,KPTD,0
5,40,3/16/2020,0,0,Balochistan,10
0,11,3/16/2020,0,0,AJK,0
3,45,3/16/2020,0,0,GB,3
6,28,3/16/2020,0,0,Mobile Lab,0
4,581,17-Mar-2020,1,0,ICT,3
1,166,3/17/2020,0,0,Punjab,1
150,554,3/17/2020,3,0,Sindh,147
15,51,3/17/2020,0,0,KP,15
0,0,3/17/2020,0,0,KPTD,0
14,163,3/17/2020,0,0,Balochistan,14
0,11,3/17/2020,0,0,AJK,0
3,45,3/17/2020,0,0,GB,3
8,627,3/18/2020,1,0,ICT,3
26,133,3/18/2020,0,0,Punjab,26
172,606,3/18/2020,3,0,Sindh,169
17,42,3/18/2020,0,0,KP,17
0,0,3/18/2020,0,0,KPTD,0
15,151,3/18/2020,0,0,Balochistan,15
0,11,3/18/2020,0,0,AJK,0
3,51,3/18/2020,0,0,GB,5
5,184,19-Mar-2020,2,0,ICT,3
33,254,3/19/2020,0,0,Punjab,33
208,908,3/19/2020,3,0,Sindh,205
19,67,3/19/2020,0,2,KP,17
0,0,3/19/2020,0,0,KPTD,0
23,637,3/19/2020,0,0,Balochistan,23
1,23,3/19/2020,0,0,AJK,1
13,90,3/19/2020,0,0,GB,11
10,277,3/20/2020,2,0,ICT,8
80,872,20-Mar-2020,0,0,Punjab,80
245,1210,3/20/2020,3,0,Sindh,242
23,67,3/20/2020,0,2,KP,21
0,0,3/20/2020,0,0,KPTD,0
81,805,3/20/2020,0,0,Balochistan,81
1,36,3/20/2020,0,0,AJK,1
21,143,3/20/2020,0,0,GB,21
11,325,21-Mar-2020,2,0,ICT,9
96,894,21-Mar-2020,0,0,Punjab,96
253,1497,3/21/2020,3,1,Sindh,249
23,130,3/21/2020,0,2,KP,21
0,0,3/21/2020,0,0,KPTD,0
81,805,3/21/2020,0,0,Balochistan,81
1,40,21-Mar-2020,0,0,AJK,1
30,310,3/21/2020,0,0,GB,30
11,366,3/22/2020,2,0,ICT,9
152,1361,3/22/2020,0,0,Punjab,152
396,1497,3/22/2020,3,1,Sindh,392
31,264,3/22/2020,0,2,KP,29
0,0,3/22/2020,0,0,KPTD,0
104,1380,3/22/2020,0,0,Balochistan,104
1,42,3/22/2020,0,0,AJK,1
55,315,3/22/2020,0,0,GB,55
15,404,23-Mar-2020,2,0,ICT,13
225,1436,3/23/2020,0,0,Punjab,225
333,1512,3/23/2020,4,1,Sindh,328
31,305,3/23/2020,0,3,KP,28
108,1405,3/23/2020,0,1,Balochistan,107
1,44,3/23/2020,0,0,AJK,1
71,338,3/23/2020,0,0,GB,71
15,427,3/24/2020,2,0,ICT,13
249,1436,3/24/2020,0,0,Punjab,249
394,1579,24-Mar-2020,4,1,Sindh,389
38,448,3/24/2020,0,3,KP,35
110,1407,3/24/2020,0,1,Balochistan,109
1,60,3/24/2020,0,0,AJK,1
80,500,3/24/2020,0,1,GB,79
18,459,3/25/2020,2,0,ICT,16
296,1436,3/25/2020,2,1,Punjab,293
407,1579,3/25/2020,14,1,Sindh,392
78,566,3/25/2020,0,3,KP,75
110,1437,3/25/2020,0,1,Balochistan,109
1,66,3/25/2020,0,0,AJK,1
81,580,3/25/2020,0,1,GB,80
25,561,3/26/2020,2,0,ICT,8
323,1436,26-Mar-2020,3,2,Punjab,318
413,1592,26-Mar-2020,14,1,Sindh,398
80,704,26-Mar-2020,2,3,KP,75
131,1455,26-Mar-2020,0,1,Balochistan,130
1,77,26-Mar-2020,0,0,AJK,1
84,624,26-Mar-2020,0,1,GB,83
25,712,27-Mar-2020,2,0,ICT,12
408,2257,27-Mar-2020,3,3,Punjab,402
417,1592,27-Mar-2020,14,1,Sindh,402
123,917,27-Mar-2020,2,3,KP,118
131,1512,27-Mar-2020,0,1,Balochistan,130
2,83,27-Mar-2020,0,0,AJK,2
91,762,27-Mar-2020,2,1,GB,88
39,1056,28-Mar-2020,2,0,ICT,8
490,3310,28-Mar-2020,4,5,Punjab,237
457,5158,28-Mar-2020,14,1,Sindh,294
180,1121,28-Mar-2020,2,3,KP,50
133,1657,28-Mar-2020,2,1,Balochistan,122
2,97,28-Mar-2020,0,0,AJK,2
107,832,28-Mar-2020,3,1,GB,12
43,1213,29-Mar-2020,2,0,ICT,11
558,3492,29-Mar-2020,4,5,Punjab,247
481,5673,29-Mar-2020,14,2,Sindh,294
188,1229,29-Mar-2020,2,4,KP,60
138,1737,29-Mar-2020,2,1,Balochistan,130
2,97,29-Mar-2020,0,0,AJK,2
116,895,29-Mar-2020,4,1,GB,12
51,1310,3/30/2020,3,0,ICT,13
593,3492,3/30/2020,5,6,Punjab,253
508,5945,3/30/2020,16,5,Sindh,306
195,1324,3/30/2020,2,5,KP,60
144,1710,3/30/2020,2,1,Balochistan,133
6,105,3/30/2020,0,0,AJK,6
128,862,3/30/2020,4,1,GB,12
58,1469,3/31/2020,3,0,ICT,16
652,2500,3/31/2020,5,9,Punjab,303
627,6328,3/31/2020,42,7,Sindh,315
221,1512,3/31/2020,2,6,KP,70
153,1792,3/31/2020,2,1,Balochistan,139
6,177,3/31/2020,0,0,AJK,6
148,880,3/31/2020,4,2,GB,12
54,1703,4/1/2020,3,0,ICT,16
708,2720,4/1/2020,5,9,Punjab,357
676,6578,4/1/2020,51,8,Sindh,385
253,1271,4/1/2020,2,6,KP,74
158,1934,4/1/2020,17,1,Balochistan,124
6,239,4/1/2020,0,0,AJK,6
184,750,4/1/2020,4,2,GB,12
62,1997,4/2/2020,3,0,ICT,15
845,2945,4/2/2020,6,11,Punjab,384
743,6926,4/2/2020,58,9,Sindh,387
276,1814,4/2/2020,19,8,KP,84
169,2049,4/2/2020,17,1,Balochistan,125
9,249,4/2/2020,0,0,AJK,9
187,797,4/2/2020,4,2,GB,12
68,2395,4/3/2020,3,0,ICT,18
920,15134,4/3/2020,6,11,Punjab,456
783,7504,4/3/2020,65,11,Sindh,410
311,1938,4/3/2020,30,9,KP,92
169,2171,4/3/2020,17,1,Balochistan,125
9,322,4/3/2020,0,0,AJK,9
190,844,4/3/2020,5,3,GB,12
11,343,4/4/2020,0,0,AJK,11
175,2401,4/4/2020,17,1,Balochistan,132
193,860,4/4/2020,9,3,GB,12
75,2569,4/4/2020,3,0,ICT,14
343,1624,4/4/2020,30,11,KP,92
1072,16508,4/4/2020,6,11,Punjab,506
839,8625,4/4/2020,65,14,Sindh,391
12,385,4/5/2020,1,0,AJK,11
185,2513,4/5/2020,17,1,Balochistan,133
206,975,4/5/2020,9,3,GB,12
78,2744,4/5/2020,3,0,ICT,10
372,1769,4/5/2020,30,14,KP,95
1163,17653,4/5/2020,25,12,Punjab,526
864,8846,4/5/2020,85,15,Sindh,390
15,400,4/6/2020,1,0,AJK,14
191,2777,4/6/2020,30,1,Balochistan,112
210,998,4/6/2020,13,3,GB,12
82,2871,4/6/2020,3,0,ICT,11
405,1974,4/6/2020,62,16,KP,120
1493,17724,4/6/2020,25,15,Punjab,653
881,9131,4/6/2020,123,15,Sindh,363
18,484,4/7/2020,1,0,AJK,17
202,2998,4/7/2020,63,1,Balochistan,87
211,1015,4/7/2020,15,3,GB,14
83,2921,4/7/2020,3,1,ICT,17
500,2103,4/7/2020,69,17,KP,138
1918,20073,4/7/2020,25,15,Punjab,751
932,9589,4/7/2020,253,17,Sindh,287
19,534,4/8/2020,1,0,AJK,18
206,3091,4/8/2020,75,2,Balochistan,77
212,1127,4/8/2020,15,3,GB,14
92,3096,4/8/2020,3,1,ICT,17
527,2262,4/8/2020,70,18,KP,197
2030,21826,4/8/2020,34,16,Punjab,713
986,10223,4/8/2020,269,18,Sindh,303
28,581,4/9/2020,1,0,AJK,27
212,3216,4/9/2020,76,2,Balochistan,77
213,1143,4/9/2020,96,3,GB,14
102,3233,4/9/2020,10,1,ICT,11
560,2662,4/9/2020,74,20,KP,168
2171,23080,4/9/2020,35,17,Punjab,752
1036,10981,4/9/2020,280,20,Sindh,354
33,631,4/10/2020,1,0,AJK,32
219,3405,4/10/2020,89,1,Balochistan,70
215,1266,4/10/2020,111,3,GB,14
107,3375,4/10/2020,10,1,ICT,18
620,2871,4/10/2020,128,22,KP,201
2279,31535,4/10/2020,39,18,Punjab,745
1128,11623,4/10/2020,349,21,Sindh,322
34,745,4/11/2020,1,0,AJK,33
220,3694,4/11/2020,95,1,Balochistan,68
215,1334,4/11/2020,125,3,GB,17
113,3480,4/11/2020,13,1,ICT,15
656,3046,4/11/2020,131,25,KP,201
2336,33328,4/11/2020,39,19,Punjab,764
1214,12209,4/11/2020,358,22,Sindh,313
35,813,4/12/2020,1,0,AJK,34
228,3812,4/12/2020,95,2,Balochistan,62
216,1408,4/12/2020,146,3,GB,9
119,3570,4/12/2020,13,1,ICT,17
697,3259,4/12/2020,142,31,KP,210
2425,36199,4/12/2020,258,21,Punjab,765
1318,12740,4/12/2020,371,28,Sindh,343
40,910,4/13/2020,2,0,AJK,38
230,3906,4/13/2020,123,2,Balochistan,40
224,1476,4/13/2020,149,3,GB,9
131,3836,4/13/2020,15,1,ICT,24
744,3478,4/13/2020,145,34,KP,211
2594,38199,4/13/2020,272,23,Punjab,832
1411,13309,4/13/2020,389,30,Sindh,347
43,992,4/14/2020,4,0,AJK,39
231,4012,4/14/2020,124,2,Balochistan,34
233,1563,4/14/2020,155,3,GB,9
131,3947,4/14/2020,15,1,ICT,19
800,3793,4/14/2020,153,35,KP,211
2826,41781,4/14/2020,508,24,Punjab,702
1452,13840,4/14/2020,419,31,Sindh,354
46,1029,4/15/2020,4,0,AJK,42
240,4100,4/15/2020,137,2,Balochistan,20
234,1618,4/15/2020,175,3,GB,5
140,4473,4/15/2020,17,1,ICT,16
865,4151,4/15/2020,178,38,KP,211
2945,43565,4/15/2020,508,28,Punjab,759
1518,14503,4/15/2020,427,35,Sindh,443
46,1081,4/16/2020,9,0,AJK,37
280,4299,4/16/2020,140,3,Balochistan,25
237,1664,4/16/2020,178,3,GB,5
145,4824,4/16/2020,17,1,ICT,17
912,4524,4/16/2020,191,42,KP,211
3217,46561,4/16/2020,550,34,Punjab,756
1668,16026,4/16/2020,560,41,Sindh,319
46,1135,4/17/2020,9,0,AJK,37
303,4427,4/17/2020,142,5,Balochistan,33
245,1826,4/17/2020,183,3,GB,5
154,5150,4/17/2020,20,1,ICT,22
993,4885,4/17/2020,205,45,KP,230
3276,48381,4/17/2020,630,36,Punjab,767
2008,18900,4/17/2020,576,45,Sindh,267
48,1175,4/18/2020,9,0,AJK,39
335,4812,4/18/2020,142,5,Balochistan,40
250,2021,4/18/2020,192,3,GB,5
163,5479,4/18/2020,20,1,ICT,13
1077,5311,4/18/2020,216,50,KP,280
3391,52478,4/18/2020,672,37,Punjab,787
2217,21272,4/18/2020,581,47,Sindh,717
48,1229,4/19/2020,9,0,AJK,39
376,5085,4/19/2020,144,5,Balochistan,51
257,2169,4/19/2020,193,3,GB,5
171,5857,4/19/2020,20,2,ICT,15
1137,6003,4/19/2020,226,60,KP,294
3649,55241,4/19/2020,684,41,Punjab,992
2355,22938,4/19/2020,592,48,Sindh,764
49,1275,4/20/2020,10,0,AJK,39
432,5315,4/20/2020,152,5,Balochistan,68
263,2430,4/20/2020,194,3,GB,4
181,5976,4/20/2020,20,3,ICT,16
1235,6544,4/20/2020,267,67,KP,296
3721,58304,4/20/2020,702,42,Punjab,1002
2537,24458,4/20/2020,625,56,Sindh,791
50,1355,4/21/2020,16,0,AJK,34
465,5636,4/21/2020,161,6,Balochistan,67
281,2604,4/21/2020,195,3,GB,4
185,6224,4/21/2020,20,3,ICT,14
1276,9360,4/21/2020,297,74,KP,328
4195,60649,4/21/2020,742,45,Punjab,1151
2764,26058,4/21/2020,635,61,Sindh,845
51,1416,4/22/2020,23,0,AJK,28
552,6130,4/22/2020,168,8,Balochistan,82
290,2859,4/22/2020,201,3,GB,10
204,6931,4/22/2020,26,3,ICT,8
1453,10837,4/22/2020,414,83,KP,351
4590,66030,4/22/2020,790,58,Punjab,1290
3373,30346,4/22/2020,715,69,Sindh,1010
55,1471,4/23/2020,0,0,AJK,30
607,6504,4/23/2020,346,8,Balochistan,79
300,2998,4/23/2020,75,3,GB,10
214,7519,4/23/2020,173,3,ICT,12
1541,11963,4/23/2020,628,85,KP,373
4767,67882,4/23/2020,2497,65,Punjab,1300
3671,33028,4/23/2020,1805,73,Sindh,1063
55,1522,4/24/2020,0,0,AJK,27
656,6742,4/24/2020,393,10,Balochistan,77
307,3162,4/24/2020,81,3,GB,10
223,8059,4/24/2020,177,3,ICT,14
1708,13109,4/24/2020,738,89,KP,409
5046,69971,4/24/2020,2577,73,Punjab,1331
3945,35582,4/24/2020,1893,75,Sindh,1205
55,1588,4/25/2020,0,0,AJK,23
722,7212,4/25/2020,449,11,Balochistan,86
308,3273,4/25/2020,79,3,GB,10
235,8455,4/25/2020,188,3,ICT,15
1793,13930,4/25/2020,760,93,KP,455
5378,71726,4/25/2020,2577,81,Punjab,1594
4232,38181,4/25/2020,2146,78,Sindh,1206
55,1588,4/26/2020,32,0,AJK,23
722,7212,4/26/2020,176,11,Balochistan,86
308,3273,4/26/2020,216,3,GB,10
235,8455,4/26/2020,29,3,ICT,15
1793,13930,4/26/2020,485,93,KP,455
5378,71726,4/26/2020,1126,81,Punjab,1594
4232,38181,4/26/2020,802,78,Sindh,1206
59,1692,4/27/2020,35,0,AJK,24
781,7582,4/27/2020,176,13,Balochistan,90
318,3398,4/27/2020,219,3,GB,10
245,8753,4/27/2020,29,3,ICT,15
